顧客ID,c1_購入回数,c1_購入商品数,c1_クーポン割引,c1_購入金額,c2_購入回数,c2_購入商品数,c2_クーポン割引,c2_購入金額,c3_購入回数,c3_購入商品数,c3_クーポン割引,c3_購入金額,c4_購入回数,c4_購入商品数,c4_クーポン割引,c4_購入金額,c5_購入回数,c5_購入商品数,c5_クーポン割引,c5_購入金額,c6_購入回数,c6_購入商品数,c6_クーポン割引,c6_購入金額,c7_購入回数,c7_購入商品数,c7_クーポン割引,c7_購入金額,c8_購入回数,c8_購入商品数,c8_クーポン割引,c8_購入金額,c9_購入回数,c9_購入商品数,c9_クーポン割引,c9_購入金額,c10_購入回数,c10_購入商品数,c10_クーポン割引,c10_購入金額,c11_購入回数,c11_購入商品数,c11_クーポン割引,c11_購入金額,来店頻度,経過日数,総購入金額
388,0,2,0,958,0,3,0,3563,0,3,0,3202,0,2,0,1278,0,7,0,4887,0,6,0,4406,0,0,0,0,0,100,0,49812,0,7,0,7316,0,0,0,0,0,1,0,1244,0,60,76666
389,5,5,0,2092,1,1,0,623,3,3,0,3953,6,7,0,2290,4,4,0,1868,2,2,0,1066,6,7,0,3442,25,146,0,83594,14,14,0,9054,2,2,0,1252,0,0,0,0,25,4,109234
390,0,0,0,0,1,3,0,2496,0,0,0,0,2,3,0,1241,2,3,0,3113,0,0,0,0,1,1,0,267,2,67,-1291,24424,2,10,-133,3665,2,2,0,878,0,0,0,0,2,56,36084
391,0,0,0,0,0,0,0,0,1,3,0,2131,2,3,0,833,2,2,0,710,0,0,0,0,3,4,-66,1436,9,13,0,2616,5,5,0,1542,1,1,0,211,0,0,0,0,9,9,9479
392,4,4,0,1631,1,1,0,1487,5,5,0,1681,13,24,0,4915,10,10,-97,4895,4,4,0,1811,8,8,0,4067,15,211,-1113,96465,15,40,0,18205,0,0,0,0,1,1,0,890,15,4,136047
393,0,0,0,0,1,1,0,532,0,0,0,0,1,2,0,459,3,6,0,3346,0,0,0,0,0,0,0,0,4,14,-267,4336,3,3,0,2229,0,0,0,0,0,0,0,0,4,52,10902
394,3,3,0,1294,1,2,0,653,1,1,0,178,5,6,0,2260,1,2,0,890,5,5,0,3068,5,5,0,3061,12,164,0,52290,12,20,0,11432,11,11,0,8839,0,0,0,0,12,7,83965
395,0,0,0,0,3,4,0,3353,7,7,0,4627,12,12,0,4406,12,14,0,7811,1,1,0,514,1,1,0,178,17,148,-97,49481,6,6,0,6240,0,0,0,0,0,0,0,0,17,1,76610
396,0,0,0,0,2,4,0,2529,1,1,0,1779,6,12,0,2325,10,16,0,8536,3,3,-178,1989,4,4,0,1597,17,222,0,100161,17,39,-1424,58655,1,1,0,192,2,2,0,2846,17,4,180609
397,2,2,0,1100,0,0,0,0,2,2,-71,1350,0,0,0,0,4,4,0,2046,0,0,0,0,0,0,0,0,6,58,0,18415,5,5,0,3535,0,0,0,0,0,0,0,0,6,41,26446
398,2,3,0,975,2,2,0,1057,4,4,0,2493,5,6,0,1556,8,10,0,5084,2,3,0,530,2,2,0,1155,26,108,0,47650,20,20,0,14185,1,1,0,787,2,2,0,3022,26,8,78494
399,2,2,0,3558,1,1,0,1212,0,0,0,0,1,1,0,621,8,10,0,2340,0,0,0,0,0,0,0,0,15,63,0,12848,15,22,0,18214,0,0,0,0,1,1,0,532,15,2,39325
400,12,20,0,3321,1,1,0,888,0,0,0,0,14,18,0,4197,9,9,0,4320,0,0,0,0,5,5,0,1934,14,216,-374,65348,14,59,-623,33737,1,1,0,7122,0,0,0,0,14,19,120867
401,1,1,0,356,7,14,0,10052,3,3,0,2407,3,3,0,886,8,9,0,3109,2,2,0,1423,1,1,0,443,23,149,0,34391,23,36,0,35935,0,0,0,0,0,0,0,0,23,7,89002
402,2,2,0,1423,2,2,0,486,2,2,0,1777,2,2,0,352,7,7,0,2482,3,3,0,886,1,1,0,336,20,121,0,35632,8,11,0,4669,0,0,0,0,0,0,0,0,20,7,48043
403,2,2,0,1868,0,0,0,0,0,0,0,0,3,3,0,1631,8,10,0,5157,8,9,-97,9164,0,0,0,0,19,162,-89,58172,11,11,0,7522,0,0,0,0,0,0,0,0,19,1,83514
404,1,1,0,1423,2,2,0,1517,1,1,0,354,2,2,0,890,3,3,0,2131,1,1,0,354,0,0,0,0,15,47,-249,24795,14,17,0,11733,3,3,0,1807,1,1,0,888,15,3,45892
405,2,3,0,1366,2,2,0,1496,2,2,0,1955,5,6,0,2126,9,14,0,5539,2,2,0,1421,0,0,0,0,13,161,-53,45142,9,9,0,2680,1,1,0,1779,0,0,0,0,13,7,63504
406,1,1,0,479,4,4,0,2696,0,0,0,0,11,13,0,3029,9,12,0,4448,2,2,0,1155,3,3,0,178,18,161,-908,55118,10,15,-106,6000,1,1,0,265,2,2,0,2667,18,1,76035
407,3,3,0,1332,5,7,0,5367,0,0,0,0,4,4,0,972,14,17,-97,5731,1,1,0,888,1,1,0,318,22,127,-630,45487,10,10,0,3326,0,0,0,0,0,0,0,0,22,10,63421
408,6,7,0,6616,3,4,0,3205,0,0,0,0,5,6,0,2840,11,12,0,7729,3,5,0,2489,1,1,0,229,12,135,0,60133,12,34,0,11786,0,0,0,0,0,0,0,0,12,26,95027
409,0,0,0,0,4,7,0,10985,0,0,0,0,7,9,0,6872,4,8,0,3358,0,0,0,0,0,0,0,0,10,104,0,57745,8,10,0,9977,0,0,0,0,0,0,0,0,10,4,88937
410,3,3,0,2060,2,2,0,1683,4,5,0,3426,3,4,0,1333,7,22,0,9342,4,4,0,1777,0,0,0,0,7,189,0,49282,5,5,0,2165,0,0,0,0,0,0,0,0,7,9,71068
411,5,5,0,3553,4,4,0,2951,2,2,0,1339,13,14,0,5542,9,9,0,3553,1,1,0,710,2,2,0,1456,16,109,0,54687,16,26,0,12807,0,0,0,0,0,0,0,0,16,4,86598
412,9,10,0,5437,3,7,0,3898,3,4,0,3145,5,7,0,2577,6,7,0,4178,5,5,0,19281,4,5,-106,1690,24,135,0,61004,24,27,0,12787,1,1,0,1779,1,1,0,890,24,4,116666
413,6,7,0,2740,1,2,0,3166,0,0,0,0,7,7,0,3640,10,20,0,6486,1,1,0,801,3,4,-178,1382,20,297,-1967,122033,20,32,0,20137,1,1,0,612,2,3,0,2167,20,20,163164
414,3,3,0,1332,1,1,0,1244,1,1,0,1779,8,14,0,5943,8,13,0,9116,5,5,0,14246,4,4,0,2167,8,254,0,103497,8,33,0,18865,1,1,0,888,1,4,0,3554,8,7,162631
415,7,8,0,5262,2,3,0,3716,3,5,0,2846,10,11,0,4559,14,23,0,12262,5,5,0,3909,2,2,0,977,29,317,-712,131109,17,22,0,13028,1,1,0,372,0,0,0,0,29,2,178040
416,1,1,0,888,2,3,0,1700,0,0,0,0,4,6,0,1775,11,18,0,6014,0,0,0,0,1,1,0,354,24,213,-534,42341,4,4,0,2035,0,0,0,0,0,0,0,0,24,3,55107
417,5,6,0,3642,0,0,0,0,1,1,0,888,3,3,0,1276,3,4,0,1743,4,4,0,2682,8,8,0,1424,26,108,-338,35049,26,40,0,21184,4,5,0,2103,0,0,0,0,26,4,69991
418,1,2,0,178,1,1,0,710,1,2,0,2133,8,12,0,4381,9,12,0,6099,1,2,0,890,6,8,0,2320,12,181,-445,52138,4,5,0,1629,0,0,0,0,0,0,0,0,12,10,70478
419,2,2,0,2489,1,1,0,714,5,6,0,3168,4,4,0,1973,6,9,0,3807,3,3,0,2149,7,11,0,3214,12,89,-178,31713,8,8,0,4228,0,0,0,0,1,1,0,1423,12,3,54878
420,0,0,0,0,3,6,0,4748,0,0,0,0,4,4,0,1079,11,13,0,7198,2,2,0,1278,3,3,0,1054,13,103,0,72552,13,20,0,10789,0,0,0,0,1,1,0,2135,13,6,100833
421,1,1,0,532,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,4254,0,0,0,0,0,0,0,0,5,107,0,47559,5,15,0,7419,3,3,0,1782,0,0,0,0,5,43,61546
422,4,6,0,1166,3,4,0,2648,2,3,0,1065,5,6,0,2350,2,2,0,1243,3,3,0,3200,1,1,0,710,15,81,0,39113,15,20,0,15936,0,0,0,0,0,0,0,0,15,8,67431
423,3,3,0,3202,0,0,0,0,0,0,0,0,1,1,0,532,1,1,0,354,1,1,0,425,0,0,0,0,11,28,0,9113,9,9,0,3674,1,1,0,445,0,0,0,0,11,38,17745
424,0,0,0,0,0,0,0,0,1,1,0,1066,1,1,0,532,2,3,0,1870,0,0,0,0,1,1,0,443,7,19,0,11051,3,3,0,4055,1,1,0,8012,0,0,0,0,7,40,27029
425,3,3,0,585,3,8,0,4985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,0,16557,5,5,0,3766,0,0,0,0,0,0,0,0,9,42,25893
426,2,2,0,710,0,0,0,0,2,2,0,598,3,4,0,2044,3,3,0,2506,0,0,0,0,0,0,0,0,13,51,-133,18582,5,5,0,2222,3,3,0,2078,0,0,0,0,13,17,28740
427,5,5,0,1861,6,6,0,4694,1,1,0,1244,18,22,0,9508,11,12,0,6929,3,3,0,2089,1,1,0,623,24,121,0,51433,23,30,0,20007,1,1,0,559,4,4,0,3025,24,4,101972
428,3,3,0,1154,5,5,0,3716,1,1,0,1601,9,23,0,4379,4,4,0,2185,8,8,0,6220,3,3,0,2309,9,130,0,44168,9,22,0,11282,0,0,0,0,0,0,0,0,9,2,77014
429,1,1,0,532,3,4,0,1948,2,2,0,1602,6,7,0,1764,6,6,0,4136,0,0,0,0,0,0,0,0,17,129,0,37242,17,24,0,7170,0,0,0,0,0,0,0,0,17,6,54394
430,9,10,0,4759,1,1,0,933,1,1,0,710,4,5,0,1385,9,10,0,4979,8,9,0,4730,1,1,0,710,38,89,0,46598,27,28,0,19423,1,1,0,277,0,0,0,0,38,1,84504
431,2,3,0,1045,2,3,0,2057,1,1,0,356,3,3,0,1652,2,2,0,1155,2,2,0,2315,0,0,0,0,12,66,0,34139,11,13,0,6443,0,0,0,0,0,0,0,0,12,6,49162
432,0,0,0,0,3,4,0,2130,4,4,0,2787,2,3,0,1512,7,11,0,5209,1,1,0,514,1,1,0,297,14,146,0,48892,10,10,0,8753,0,0,0,0,0,0,0,0,14,28,70094
433,3,3,0,1170,1,2,0,1572,0,0,0,0,5,5,0,2368,3,4,0,2753,3,3,0,1508,2,2,0,815,6,91,0,29470,6,14,0,6958,0,0,0,0,0,0,0,0,6,43,46614
434,4,4,0,1560,1,1,0,553,1,1,0,267,5,5,0,2042,4,5,0,2557,4,5,-97,2553,2,2,0,833,15,108,-427,41600,6,9,0,4388,0,0,0,0,1,1,0,888,15,2,57241
435,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,229,2,3,0,1246,0,0,0,0,1,1,0,309,7,127,0,48491,7,16,0,12596,0,0,0,0,0,0,0,0,7,38,62871
436,1,1,0,710,2,2,0,2155,1,1,0,2135,3,3,0,1065,4,6,0,2598,2,3,0,2007,2,2,0,317,16,59,0,27302,7,10,0,6714,0,0,0,0,0,0,0,0,16,6,45003
437,6,11,0,1068,1,2,0,961,0,0,0,0,3,10,0,2124,3,3,0,2222,1,1,0,710,6,6,0,2219,22,95,0,35798,9,10,0,6945,1,1,0,265,1,1,0,1601,22,7,53913
438,2,3,0,1419,0,0,0,0,0,0,0,0,3,3,0,1601,0,0,0,0,17,22,0,12124,6,8,0,2764,17,347,0,104309,17,30,0,20962,0,0,0,0,0,0,0,0,17,1,143179
439,0,0,0,0,3,3,0,1991,3,3,0,1563,1,1,0,176,9,17,0,6279,1,1,0,5341,0,0,0,0,26,84,0,29764,16,19,0,9186,0,0,0,0,0,0,0,0,26,2,54300
440,5,5,0,4123,3,4,0,4644,0,0,0,0,7,8,0,2712,8,18,0,12332,4,4,-178,4596,1,1,0,443,8,232,-48,69967,8,12,0,5574,0,0,0,0,1,1,0,890,8,27,105281
441,3,3,0,3716,1,1,0,2634,2,2,0,610,6,7,0,2521,5,10,0,3914,3,3,0,3360,0,0,0,0,6,72,0,38442,6,6,0,6605,0,0,0,0,0,0,0,0,6,4,61802
442,1,1,0,1779,1,1,0,573,3,3,0,2673,9,10,0,2391,4,7,0,4584,0,0,0,0,5,5,0,2397,15,34,0,7677,9,9,0,4431,0,0,0,0,0,0,0,0,15,8,26505
443,1,1,0,1779,5,10,0,5309,1,1,0,356,1,1,0,267,10,12,0,8299,0,0,0,0,0,0,0,0,10,100,0,30040,10,14,0,6961,0,0,0,0,0,0,0,0,10,16,53011
444,4,4,0,2486,0,0,0,0,0,0,0,0,3,3,0,938,3,3,0,1335,0,0,0,0,0,0,0,0,14,41,0,13444,14,19,0,21820,0,0,0,0,0,0,0,0,14,5,40023
445,4,4,0,2308,1,2,0,1456,1,1,0,283,5,6,0,1455,6,7,0,3446,6,6,0,4443,2,2,0,942,18,261,-222,163069,17,18,0,13920,1,1,0,767,0,0,0,0,18,24,192089
446,1,1,0,532,2,2,0,3334,4,5,0,2769,2,4,0,1243,6,21,0,11569,4,4,0,1417,0,0,0,0,6,78,0,19418,4,4,0,2434,0,0,0,0,0,0,0,0,6,31,42716
447,2,2,0,1155,3,3,0,4126,0,0,0,0,5,5,0,2927,10,14,0,8513,3,3,0,4995,4,4,0,1756,11,158,-568,66297,11,34,-133,14349,3,4,0,2495,1,1,0,532,11,7,107145
448,4,4,0,1296,10,11,0,12447,2,3,0,2593,30,42,0,13024,15,20,0,11417,12,17,0,12258,5,7,0,3432,30,259,-329,121941,30,66,-178,36127,1,1,0,532,1,1,0,888,30,1,215955
449,2,4,0,949,1,2,0,1697,1,1,0,888,9,21,0,4803,8,10,0,7074,1,1,0,1066,1,2,0,530,13,195,0,80023,13,24,0,28127,0,0,0,0,0,0,0,0,13,10,125157
450,16,21,0,3987,3,4,0,3964,0,0,0,0,16,35,0,10283,4,6,0,3699,7,7,0,4201,10,13,0,5043,16,217,-356,79886,10,12,0,4151,0,0,0,0,1,1,0,1781,16,5,116995
451,3,3,0,1597,5,5,0,4676,1,1,0,799,5,7,0,3109,13,17,0,11426,0,0,0,0,0,0,0,0,19,233,0,103602,19,85,-336,49837,1,1,0,1280,0,0,0,0,19,5,176326
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,1,1,0,390,1,3,0,1773,1,1,0,933,9,13,-178,4598,1,2,0,1777,2,3,0,3221,5,8,0,2805,25,104,0,45995,14,21,0,8317,1,1,0,653,1,1,0,532,25,2,70994
454,0,0,0,0,4,4,0,4749,2,3,0,3734,10,11,0,4901,2,2,0,890,2,2,0,1955,5,6,0,2894,10,151,-267,65015,10,27,0,36350,1,1,0,488,5,6,0,7683,10,7,128659
455,3,3,0,974,2,2,0,1332,5,5,0,3998,11,20,0,5813,3,3,0,3022,3,3,0,2178,11,12,0,9275,11,133,0,48941,10,10,0,6933,0,0,0,0,1,2,0,1244,11,5,83710
456,1,1,0,710,4,4,0,4053,1,1,0,714,4,5,0,3499,6,7,0,4359,1,1,-178,390,0,0,0,0,9,156,0,53032,9,21,0,15455,0,0,0,0,0,0,0,0,9,40,82212
457,5,5,0,2361,7,15,0,10874,0,0,0,0,9,9,0,3371,12,25,0,13287,2,2,0,780,0,0,0,0,12,248,-445,83396,12,44,0,28969,0,0,0,0,1,2,0,890,12,3,143928
458,2,2,0,708,3,4,0,2842,7,8,0,6562,7,7,0,4967,6,8,0,4681,2,2,0,886,16,22,0,8919,16,207,0,75858,16,16,0,12595,4,6,0,4431,0,0,0,0,16,7,122449
459,2,2,0,2133,1,1,0,840,0,0,0,0,3,3,0,1451,9,10,0,6327,0,0,0,0,2,3,0,1027,18,101,0,45840,6,7,0,3907,0,0,0,0,0,0,0,0,18,3,61525
460,4,13,0,1900,7,7,0,4267,0,0,0,0,2,3,0,1243,7,8,0,3788,3,3,0,1829,1,1,0,443,30,152,-249,53278,30,44,0,25895,0,0,0,0,0,0,0,0,30,1,92643
461,3,3,0,2274,2,2,0,1175,0,0,0,0,3,3,0,1243,6,6,0,2919,0,0,0,0,0,0,0,0,10,197,-133,70938,10,16,0,7408,1,1,0,211,0,0,0,0,10,3,86168
462,3,3,0,5622,3,3,0,2128,2,3,0,1960,3,12,0,4507,3,10,0,5403,0,0,0,0,1,1,0,532,3,91,0,25865,3,6,0,3269,0,0,0,0,0,0,0,0,3,32,49286
463,1,1,0,532,2,2,0,1439,0,0,0,0,1,1,0,192,7,10,0,7107,0,0,0,0,0,0,0,0,18,64,0,30665,3,3,0,1082,0,0,0,0,0,0,0,0,18,4,41017
464,5,13,0,1957,15,19,0,14077,3,5,0,3378,19,20,0,9086,5,8,0,3218,5,5,0,3253,24,36,0,10119,29,331,-89,150317,8,10,0,6646,0,0,0,0,1,1,0,712,29,2,202763
465,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,176,7,7,0,3408,0,0,0,0,0,0,0,0,31,93,-356,26833,31,83,0,45308,1,1,0,178,0,0,0,0,31,1,75903
466,3,3,0,1512,1,1,0,509,8,8,0,3483,3,3,0,1488,10,17,0,5483,2,2,0,1296,0,0,0,0,10,108,-623,36510,10,17,0,9565,2,2,0,1991,0,0,0,0,10,5,61837
467,4,5,0,1542,5,6,0,3150,2,2,0,1405,5,5,0,1364,3,5,0,1651,1,1,0,710,1,1,0,176,16,41,-62,9941,5,7,0,1540,0,0,0,0,1,1,0,1601,16,4,23080
468,1,1,0,267,0,0,0,0,2,2,0,1456,3,3,0,1187,4,4,-97,1928,1,1,0,354,0,0,0,0,8,56,0,16516,4,4,0,1025,0,0,0,0,0,0,0,0,8,4,22733
469,3,4,0,1223,4,4,0,2142,3,3,0,3556,7,8,0,5845,3,5,0,2133,5,5,0,5690,4,42,0,9572,14,101,-222,55536,14,32,0,27779,2,2,0,2274,1,1,0,4094,14,28,119844
470,0,0,0,0,2,2,0,895,0,0,0,0,3,3,0,1029,1,5,0,703,1,1,0,1779,0,0,0,0,8,48,0,20419,7,7,0,8272,0,0,0,0,0,0,0,0,8,44,33097
471,4,7,0,1305,3,3,0,1237,1,1,0,888,6,11,0,3959,3,5,0,1512,1,1,0,178,3,3,0,534,6,198,-578,71884,6,11,0,3278,2,2,0,530,0,0,0,0,6,33,85305
472,11,14,0,5143,7,10,0,5692,4,7,0,4137,31,87,0,22805,25,38,0,23998,4,4,-178,2569,3,7,0,3162,31,483,-890,130579,31,36,0,16410,1,1,0,710,0,0,0,0,31,1,215205
473,5,5,0,5556,5,7,0,5686,4,4,0,4073,8,38,0,17939,8,13,0,6399,8,8,0,5957,6,6,0,3871,8,293,0,102761,8,24,0,14370,2,2,0,2204,1,1,0,532,8,13,169348
474,4,5,0,1259,0,0,0,0,0,0,0,0,5,19,0,6397,5,6,0,2543,3,3,0,1601,5,19,0,9847,5,81,0,28624,5,5,0,4480,0,0,0,0,1,1,0,532,5,9,55283
475,1,1,0,229,2,2,0,1631,0,0,0,0,1,1,0,532,4,4,0,3237,0,0,0,0,0,0,0,0,8,45,0,17704,8,19,0,9020,0,0,0,0,1,2,0,2846,8,11,35199
476,0,0,0,0,4,5,0,15731,2,2,0,1278,3,3,0,1116,2,4,0,2130,1,2,0,1029,0,0,0,0,14,104,0,30645,4,5,0,799,0,0,0,0,0,0,0,0,14,3,52728
477,2,3,0,564,2,2,0,1540,0,0,0,0,4,4,0,1520,2,3,0,1278,2,2,0,1244,1,1,0,297,9,87,0,33708,9,17,0,12858,1,1,0,888,0,0,0,0,9,18,53897
478,16,16,0,9065,5,6,0,4040,0,0,0,0,17,23,0,9043,1,1,0,710,7,7,0,5986,4,5,0,2951,17,245,-133,100705,17,141,-712,65504,1,1,0,1155,2,3,0,1900,17,4,201059
479,1,1,0,407,3,5,0,2324,3,3,0,2151,8,11,0,3670,5,8,0,4448,7,7,-160,4099,13,20,-195,10103,13,136,-2039,55080,13,18,-1561,15863,1,1,0,354,1,1,0,890,13,7,99389
480,9,10,0,5307,5,6,0,11384,17,20,0,13683,33,45,0,19872,33,41,0,18611,2,2,0,1268,6,7,0,2792,33,350,0,106849,33,55,0,32729,1,1,0,265,5,6,0,6578,33,1,219338
481,4,5,0,4443,0,0,0,0,0,0,0,0,3,3,0,976,12,15,0,10269,0,0,0,0,0,0,0,0,23,130,0,35536,12,17,0,4163,0,0,0,0,0,0,0,0,23,4,55387
482,1,2,0,119,1,1,0,778,0,0,0,0,3,3,0,1463,10,10,0,2961,2,2,0,833,13,13,0,6242,21,50,-133,13640,16,18,-176,8108,2,2,0,708,1,1,0,461,21,18,35313
483,3,3,0,2292,5,7,0,7608,4,5,0,3949,9,13,0,4425,9,15,0,9179,1,1,0,354,4,4,0,1296,9,239,-623,91774,9,81,0,60284,2,3,0,1989,1,1,0,1423,9,12,184573
484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,8837,0,0,0,0,0,0,0,0,6,111,0,45274,6,6,0,6632,1,1,0,283,0,0,0,0,6,39,61026
485,1,1,0,461,3,3,0,3097,3,3,0,2981,3,3,0,1775,4,4,0,2539,0,0,0,0,4,7,0,2915,4,99,0,39776,4,26,0,16324,0,0,0,0,0,0,0,0,4,14,69868
486,5,6,0,2452,2,3,0,2464,1,2,0,1421,8,9,0,3494,7,8,0,3554,2,2,0,815,1,1,0,445,27,147,0,57744,27,81,-97,46727,0,0,0,0,1,1,0,2313,27,5,121429
487,2,3,0,992,2,4,0,1595,0,0,0,0,3,3,0,1953,3,4,0,2846,2,3,0,710,2,2,0,886,11,81,-712,26579,9,10,0,4929,0,0,0,0,0,0,0,0,11,38,40490
488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,6,9,0,3378,0,0,0,0,1,1,0,1423,1,1,0,265,4,5,0,1992,2,2,0,1065,0,0,0,0,16,105,0,27658,16,32,0,16851,0,0,0,0,2,2,0,1421,16,1,54053
490,9,14,0,4824,3,4,0,5690,1,1,0,532,9,47,0,14287,9,21,0,10855,5,5,0,4445,1,1,0,496,9,380,0,124116,9,28,0,14755,0,0,0,0,0,0,0,0,9,5,180000
491,6,8,0,2927,2,4,0,1020,0,0,0,0,4,4,0,1008,8,9,0,4714,2,2,0,828,2,2,0,675,16,69,0,20899,16,21,0,11690,0,0,0,0,0,0,0,0,16,2,43761
492,2,3,0,1191,2,2,0,13352,1,2,0,1065,10,12,0,5102,4,6,0,2846,0,0,0,0,4,5,0,1757,11,167,-1220,50867,9,11,0,5663,1,1,0,585,1,1,0,1781,11,8,84209
493,2,2,0,3202,2,3,0,2099,1,1,0,888,6,6,0,2024,5,8,0,4651,3,3,0,14098,0,0,0,0,16,180,-178,60326,5,5,0,4356,0,0,0,0,0,0,0,0,16,3,91644
494,1,1,0,888,2,2,0,2945,0,0,0,0,2,2,0,886,5,7,0,4849,2,2,0,799,0,0,0,0,5,58,-97,20643,3,8,0,7216,0,0,0,0,0,0,0,0,5,40,38226
495,1,1,0,283,0,0,0,0,0,0,0,0,6,7,0,2879,8,17,0,8091,1,1,0,1244,0,0,0,0,9,42,0,17199,7,8,0,4461,0,0,0,0,1,1,0,1601,9,28,35758
496,1,1,0,585,0,0,0,0,0,0,0,0,5,6,0,2290,2,2,0,959,1,1,0,1066,2,2,0,975,9,51,0,19227,6,6,0,8110,3,3,0,2268,0,0,0,0,9,42,35480
497,2,3,0,869,0,0,0,0,0,0,0,0,13,18,0,4936,2,2,0,1777,13,17,0,13941,0,0,0,0,13,121,-2028,62335,9,12,-705,2869,0,0,0,0,1,1,0,1601,13,1,88328
498,4,6,0,1688,1,1,0,1439,3,3,0,1278,6,11,0,3690,13,24,0,15660,2,2,0,388,0,0,0,0,13,186,0,48277,11,15,0,9403,0,0,0,0,0,0,0,0,13,34,81823
499,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,532,2,3,0,1775,0,0,0,0,2,10,0,1781,2,89,0,32937,2,5,0,2187,0,0,0,0,0,0,0,0,2,56,39212
500,3,3,0,1068,0,0,0,0,1,1,0,1155,6,6,0,2938,6,6,0,4570,1,1,0,598,0,0,0,0,12,119,0,38221,12,23,0,18871,1,1,0,710,0,0,0,0,12,36,68131
501,1,1,0,621,1,1,0,995,0,0,0,0,1,1,0,156,0,0,0,0,0,0,0,0,0,0,0,0,12,52,0,25218,12,44,0,37065,3,3,0,1928,0,0,0,0,12,9,65983
502,5,5,0,2573,1,1,0,1430,1,1,0,390,4,9,0,2756,1,1,0,781,4,5,0,2486,5,5,0,3285,11,27,0,16563,11,13,0,13143,0,0,0,0,0,0,0,0,11,3,43407
503,1,1,0,178,1,1,0,1120,0,0,0,0,2,2,0,546,1,2,0,799,0,0,0,0,0,0,0,0,9,16,-71,4883,2,2,0,354,0,0,0,0,0,0,0,0,9,39,7880
504,1,1,0,710,2,2,0,2082,6,9,0,5665,5,6,0,1946,9,11,0,8228,7,8,0,3391,0,0,0,0,11,190,0,55079,11,12,0,7524,0,0,0,0,1,1,0,532,11,2,85157
505,0,0,0,0,1,1,0,995,2,2,0,1650,6,15,0,2955,3,3,0,2719,1,1,0,347,0,0,0,0,6,143,0,52455,6,7,0,2065,0,0,0,0,0,0,0,0,6,8,63186
506,1,4,0,356,3,3,0,2806,0,0,0,0,2,2,0,1065,13,29,0,10393,0,0,0,0,1,1,0,534,13,64,0,21001,3,4,0,707,2,2,0,1284,0,0,0,0,13,3,38146
507,5,7,0,1510,2,2,0,949,4,4,0,6760,12,14,0,5276,6,6,0,2755,4,4,0,1837,8,8,0,4977,12,197,-178,59411,7,7,0,3654,1,1,0,532,0,0,0,0,12,3,87661
508,2,2,0,9079,1,1,0,959,3,3,0,2062,6,8,0,2983,6,8,0,5187,1,1,0,1244,0,0,0,0,6,200,0,68026,6,69,0,12579,0,0,0,0,0,0,0,0,6,11,102119
509,0,4,0,3198,0,2,0,1841,0,1,0,443,0,9,0,3654,0,6,0,4979,0,1,0,445,0,7,0,3816,0,153,0,60667,0,7,0,2281,0,0,0,0,0,0,0,0,0,12,81324
510,2,2,0,673,0,0,0,0,0,0,0,0,5,6,0,1415,0,0,0,0,0,0,0,0,3,3,0,1155,8,19,-213,6181,3,3,0,3431,0,0,0,0,0,0,0,0,8,29,12855
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1068,0,0,0,0,0,0,0,0,3,51,0,20730,2,2,0,940,0,0,0,0,0,0,0,0,3,54,22738
512,5,6,0,2781,2,3,0,3202,2,2,0,1510,5,5,0,1950,13,15,0,8922,5,5,0,4000,2,2,0,798,13,248,-578,95819,13,23,0,21368,1,1,0,1738,1,1,0,890,13,17,142978
513,10,10,0,9476,4,6,0,3695,0,0,0,0,3,3,0,1456,21,31,0,13312,3,3,0,3912,0,0,0,0,21,242,-445,74593,21,48,0,25495,1,1,0,3560,1,1,0,1779,21,5,137278
514,4,4,0,1900,4,5,0,3545,3,3,0,1667,4,7,0,901,8,8,0,5722,0,0,0,0,3,3,0,1309,8,230,0,61133,8,20,0,7294,3,3,0,1918,0,0,0,0,8,18,85389
515,6,7,0,4885,1,1,0,169,2,2,0,1424,3,3,0,1205,3,3,0,1597,3,3,0,5515,1,1,0,105,11,73,0,24700,3,4,0,2112,1,1,0,3560,0,0,0,0,11,2,45272
516,0,0,0,0,7,8,0,5809,2,3,0,1779,15,16,0,8680,8,12,0,5244,4,4,-178,1613,10,12,0,9040,18,170,0,97397,12,14,0,15079,0,0,0,0,0,0,0,0,18,7,144641
517,1,1,0,229,3,3,0,1766,3,3,0,2309,8,8,0,2672,2,3,0,1235,0,0,0,0,4,4,0,2321,13,92,-133,28243,13,14,-178,3009,1,1,0,692,0,0,0,0,13,17,42476
